"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       1.207845061,       1.109586458,       1.077227838,        1.74177314
          0,           0,           1,       1.198125371,       1.116024193,       1.071465539,       1.739746095
          0,           0,           2,       1.194426696,       1.117876788,       1.066178867,       1.742685389
          0,           0,           3,       1.192547015,       1.115603428,       1.058470077,       1.746083522
          0,           0,           4,        1.18974993,       1.110018432,       1.047308169,         1.7473948
          0,           0,           5,        1.18417528,       1.102314149,       1.032546707,        1.74511545
          0,           0,           6,       1.174511421,       1.094015592,       1.014500219,       1.738294853
          0,           0,           7,        1.15980868,        1.08636568,      0.9938393668,       1.726287457
          0,           0,           8,       1.139374618,       1.080210689,      0.9715229763,       1.708623965
          0,           0,           9,        1.11274106,       1.075818455,      0.9487219756,       1.684970953
          0,           0,          10,       1.079737636,       1.072809825,      0.9267345006,       1.655190659
          0,           0,          11,       1.040708833,       1.070289252,      0.9068333589,       1.619517262
          0,           0,          12,      0.9969468241,       1.067136358,      0.8900420852,        1.57889565
          0,           0,          13,      0.9515279528,       1.062188559,      0.8770692548,       1.535687931
          0,           0,          14,       0.910408338,       1.054160127,      0.8681763031,        1.49469772
          0,           0,          15,      0.8823595584,       1.042421224,      0.8634863556,        1.46362087
          0,           0,          16,      0.8749826027,       1.027130872,      0.8629043422,       1.450412347
          0,           0,          17,      0.8894234835,       1.009260534,      0.8660173443,       1.458508469
          0,           0,          18,      0.9195282669,      0.9905573025,      0.8722095735,       1.484087251
          0,           0,          19,      0.9568935817,      0.9734633633,      0.8807281281,        1.51940533
          0,           0,          20,      0.9951279758,      0.9609768406,      0.8907160131,       1.557508484
          0,           0,          21,       1.030598515,      0.9559937429,      0.9013049359,       1.593972646
          0,           0,          22,       1.061610422,      0.9602470768,      0.9117201041,         1.6265083
          0,           0,          23,       1.087534644,      0.9735404491,      0.9213334845,       1.654118062
          0,           0,          24,       1.108243414,      0.9938625876,      0.9296758166,       1.676460618
          0,           0,          25,       1.123820711,       1.018296599,      0.9364411838,       1.693495488
          0,           0,          26,       1.134415974,       1.043991361,      0.9414696131,       1.705295024
          0,           0,          27,       1.140163247,       1.068675122,       0.944713118,       1.711939879
          0,           0,          28,       1.141165572,       1.090773344,      0.9462208955,       1.713488859
          0,           0,          29,       1.137484273,       1.109286511,      0.9461071969,       1.709959935
          0,           0,          30,       1.129135836,       1.123598924,      0.9444602721,       1.701320883
          0,           0,          31,         1.1162324,       1.133390165,      0.9414498668,       1.687633741
          0,           0,          32,       1.099002388,       1.138542037,      0.9371902698,       1.669080587
