"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.4831514224,       2.170454461,      0.2567994954,       1.291465947
          0,           0,           1,       0.476836449,       2.081035818,      0.1358568045,       1.185777407
          0,           0,           2,      0.4733654575,       1.991433629,     0.03275079346,       1.106872743
          0,           0,           3,      0.4712396267,       1.901723864,    -0.04731516471,        1.05485756
          0,           0,           4,      0.4695886779,       1.811984672,     -0.1039684902,       1.024086919
          0,           0,           5,       0.467935927,       1.722316441,     -0.1418758856,       1.006982364
          0,           0,           6,      0.4660412809,       1.632860495,     -0.1675235314,      0.9973922191
          0,           0,           7,      0.4638024406,       1.543821421,     -0.1862733263,      0.9914429864
          0,           0,           8,      0.4611946281,       1.455499676,     -0.2015149851,      0.9870206525
          0,           0,           9,      0.4582346466,        1.36833251,     -0.2150626303,      0.9830735878
          0,           0,          10,      0.4549597898,       1.282940972,     -0.2277689344,      0.9791225516
          0,           0,          11,      0.4514156599,       1.200174603,     -0.2399788659,      0.9749780687
          0,           0,          12,      0.4476493272,       1.121134881,     -0.2517967401,      0.9705904446
          0,           0,          13,      0.4437056366,       1.047143426,     -0.2632277124,      0.9659733065
          0,           0,          14,       0.439625391,      0.9796165702,     -0.2742462115,      0.9611656134
          0,           0,          15,      0.4354446318,      0.9198331499,     -0.2848277371,      0.9562133175
          0,           0,          16,      0.4311945549,      0.8686401596,     -0.2949563621,      0.9511609717
          0,           0,          17,      0.4269016955,      0.8262155598,     -0.3046272561,      0.9460482047
          0,           0,          18,      0.4225883186,      0.7920177013,     -0.3138446264,       0.940908655
          0,           0,          19,      0.4182728913,       0.764949757,     -0.3226190879,      0.9357700493
          0,           0,          20,      0.4139705629,      0.7436453687,     -0.3309654174,      0.9306547637
          0,           0,          21,      0.4096936207,      0.7267399437,     -0.3389004126,      0.9255805456
          0,           0,          22,      0.4054519092,      0.7130446429,     -0.3464413943,      0.9205612447
          0,           0,          23,       0.401253205,      0.7016152225,     -0.3536052121,      0.9156074857
          0,           0,          24,       0.397103548,      0.6917487741,     -0.3604077121,      0.9107272561
          0,           0,          25,      0.3930075282,      0.6829458937,     -0.3668635229,      0.9059264062
          0,           0,          26,      0.3889685329,       0.674863961,     -0.3729860474,      0.9012090649
          0,           0,          27,      0.3849889567,      0.6672744279,     -0.3787875744,      0.8965779826
          0,           0,          28,      0.3810703811,      0.6600285884,     -0.3842794491,      0.8920348126
          0,           0,          29,      0.3772137251,      0.6530320596,     -0.3894722664,       0.887580338
          0,           0,          30,      0.3734193779,      0.6462265927,     -0.3943760566,      0.8832146625
          0,           0,          31,      0.3696873169,      0.6395774866,     -0.3990004486,      0.8789373708
          0,           0,          32,      0.3660171744,      0.6330650194,     -0.4033548212,      0.8747476275
          0,           0,          33,      0.3624083012,       0.626678741,     -0.4074484218,      0.8706442648
          0,           0,          34,      0.3588598379,      0.6204137506,     -0.4112904488,      0.8666258697
          0,           0,          35,      0.3553707574,      0.6142682731,      -0.414890124,      0.8626908388
          0,           0,          36,      0.3519399198,      0.6082421509,     -0.4182567268,      0.8588374432
          0,           0,          37,      0.3485660965,      0.6023358929,     -0.4213996273,      0.8550638576
          0,           0,          38,      0.3452480052,      0.5965501366,     -0.4243282753,      0.8513681994
          0,           0,          39,      0.3419843164,        0.59088531,     -0.4270522142,      0.8477485353
          0,           0,          40,      0.3387736826,      0.5853414896,     -0.4295810524,      0.8442029159
          0,           0,          41,      0.3356147494,      0.5799183416,     -0.4319244433,      0.8407293868
          0,           0,          42,      0.3325061646,       0.574615119,     -0.4340920571,      0.8373259989
          0,           0,          43,      0.3294465937,       0.569430697,     -0.4360935305,      0.8339908276
          0,           0,          44,      0.3264347192,      0.5643636112,     -0.4379384461,      0.8307219703
          0,           0,          45,      0.3234692467,      0.5594121149,     -0.4396362927,      0.8275175534
          0,           0,          46,      0.3205489136,      0.5545742299,     -0.4411964179,      0.8243757432
          0,           0,          47,      0.3176724897,      0.5498477793,     -0.4426279969,       0.821294746
          0,           0,          48,      0.3148387769,      0.5452304352,      -0.443940002,      0.8182728081
          0,           0,          49,      0.3120466119,      0.5407197614,     -0.4451411662,      0.8153082187
          0,           0,          50,      0.3092948707,      0.5363132457,     -0.4462399432,      0.8123993161
          0,           0,          51,      0.3065824683,      0.5320083301,     -0.4472444964,      0.8095444862
          0,           0,          52,      0.3039083546,      0.5278024251,     -0.4481626818,      0.8067421595
          0,           0,          53,      0.3012715144,      0.5236929301,     -0.4490020325,      0.8039908116
          0,           0,          54,      0.2986709663,       0.519677245,     -0.4497697353,      0.8012889614
          0,           0,          55,      0.2961057611,      0.5157527773,       -0.45047263,      0.7986351701
