"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -6.162141216,      -16.27018458,      -16.33913346,      -0.699617172
          0,           0,           1,       -6.26801139,      -3.586709137,      -4.097811432,     -0.8070251982
          0,           0,           2,      -6.378030458,      -3.605925831,      -4.013043859,     -0.9218055355
          0,           0,           3,      -6.529479228,      -3.650537825,      -4.014560613,      -1.093965162
          0,           0,           4,      -6.611651205,       -3.73221106,      -4.064865442,      -1.165997729
          0,           0,           5,      -6.613800481,      -3.843301797,       -4.12043911,      -1.141271995
          0,           0,           6,         -6.610308,      -3.955585667,      -4.133757559,      -1.124349424
          0,           0,           7,      -6.615317242,      -4.022801133,      -4.103960163,      -1.128173337
          0,           0,           8,      -6.628804586,      -4.036495983,      -4.066781885,      -1.148279042
          0,           0,           9,      -6.648661281,      -4.032331047,      -4.044576349,      -1.177999478
          0,           0,          10,      -6.658795476,      -4.039092309,      -4.044358646,      -1.197696559
          0,           0,          11,      -6.655083514,      -4.067797908,      -4.068522926,      -1.199759825
          0,           0,          12,      -6.634393846,      -4.120812256,      -4.118293499,      -1.179513499
          0,           0,          13,      -6.604504488,      -4.193702504,      -4.191979946,      -1.146995353
          0,           0,          14,      -6.579908356,      -4.266744318,      -4.275378299,      -1.119635598
          0,           0,          15,      -6.570900644,      -4.296513491,      -4.323529458,      -1.108921478
          0,           0,          16,      -6.583440905,      -4.260685379,      -4.293784281,      -1.121047704
          0,           0,          17,      -6.620416877,       -4.19674294,      -4.220943294,       -1.15902412
          0,           0,          18,      -6.681890362,      -4.142103863,      -4.154502061,      -1.223285573
          0,           0,          19,      -6.761631315,      -4.109931599,      -4.112186433,      -1.307958441
          0,           0,          20,      -6.837353666,      -4.102237461,      -4.096684436,      -1.389032754
          0,           0,          21,      -6.869615647,      -4.117887337,      -4.107242143,      -1.420804163
          0,           0,          22,      -6.847672683,      -4.154816928,      -4.142889819,      -1.391848686
          0,           0,          23,      -6.806606328,      -4.209936216,      -4.202863947,      -1.344266049
          0,           0,          24,      -6.775811051,      -4.277728132,      -4.285570539,      -1.309665383
          0,           0,          25,      -6.765429611,      -4.347862323,      -4.384817172,      -1.297425688
          0,           0,          26,      -6.776639382,      -4.404412508,       -4.48057411,      -1.307949083
          0,           0,          27,      -6.807933765,      -4.433253926,      -4.534334987,      -1.339323267
          0,           0,          28,      -6.857033027,      -4.434538067,      -4.527393996,      -1.389081248
          0,           0,          29,      -6.921306905,      -4.420898702,      -4.489667849,       -1.45453162
          0,           0,          30,      -6.997040645,      -4.404712121,      -4.452717478,      -1.531937853
          0,           0,          31,      -7.077517705,      -4.392869813,      -4.428351497,      -1.614364319
          0,           0,          32,      -7.150583979,      -4.388348602,      -4.418201661,      -1.688929161
          0,           0,          33,      -7.198763607,       -4.39237823,      -4.420907725,      -1.736787779
          0,           0,          34,      -7.210204238,      -4.405539672,      -4.434606038,      -1.745622526
          0,           0,          35,      -7.191755845,      -4.428081894,      -4.457520513,      -1.723869829
          0,           0,          36,      -7.161115926,      -4.459849313,      -4.487884611,      -1.690726994
          0,           0,          37,      -7.132132779,      -4.500017295,      -4.523603486,      -1.660304421
          0,           0,          38,      -7.111775821,      -4.546638392,      -4.561816243,      -1.639325554
          0,           0,          39,      -7.102637938,      -4.596023792,      -4.598610777,      -1.630158273
          0,           0,          40,      -7.105266913,      -4.642297427,      -4.629320657,       -1.63325108
          0,           0,          41,      -7.119400474,      -4.678152895,      -4.649835456,      -1.648348608
          0,           0,          42,      -7.144157618,      -4.697832867,      -4.658501385,      -1.674633399
          0,           0,          43,      -7.177748903,      -4.700774502,      -4.657080722,      -1.710411804
          0,           0,          44,      -7.217225963,       -4.69175382,      -4.649707896,        -1.7527456
          0,           0,          45,      -7.257234048,      -4.677402274,      -4.640959304,      -1.795934994
          0,           0,          46,      -7.289986444,      -4.663106278,      -4.634548625,      -1.831228891
          0,           0,          47,      -7.307709237,      -4.652103864,      -4.632927629,      -1.849536055
          0,           0,          48,      -7.307723876,      -4.645854128,      -4.637393188,      -1.847740696
          0,           0,          49,      -7.294939292,      -4.644613766,      -4.648289528,      -1.831777931
          0,           0,          50,       -7.27789209,      -4.647882791,      -4.665148362,      -1.811535482
          0,           0,          51,      -7.264031846,      -4.654708328,      -4.686781967,       -1.79518721
          0,           0,          52,      -7.258032368,      -4.663967448,      -4.711412096,      -1.787577917
          0,           0,          53,      -7.262250725,      -4.674636157,       -4.73694803,      -1.791012727
          0,           0,          54,       -7.27749719,      -4.685995271,      -4.761451219,      -1.806228212
          0,           0,          55,      -7.303418437,      -4.697732745,      -4.783666194,      -1.832842961
          0,           0,          56,      -7.338417965,      -4.709894196,      -4.803319294,      -1.869253208
          0,           0,          57,      -7.379192071,      -4.722702331,      -4.820942515,      -1.912051524
          0,           0,          58,      -7.420038874,      -4.736319244,      -4.837299633,      -1.955128615
          0,           0,          59,      -7.453269949,      -4.750641082,      -4.852747311,      -1.989922804
          0,           0,          60,      -7.472241302,      -4.765189334,      -4.866849934,      -2.008824228
          0,           0,          61,      -7.475831262,      -4.779171656,      -4.878429092,      -2.010577775
          0,           0,          62,       -7.46925895,       -4.79168361,      -4.886077916,      -2.001256635
          0,           0,          63,      -7.460192966,      -4.802036732,      -4.888970993,      -1.989488344
          0,           0,          64,      -7.454939102,      -4.810065199,      -4.887536996,      -1.982073833
          0,           0,          65,      -7.457372733,      -4.816285745,      -4.883533734,      -1.983028144
          0,           0,          66,      -7.469365153,      -4.821805497,      -4.879530409,      -1.994237469
          0,           0,          67,      -7.491341715,      -4.828027235,      -4.878214017,      -2.016162002
          0,           0,          68,      -7.522423691,      -4.836302498,      -4.881912966,       -2.04803557
          0,           0,          69,       -7.56008927,      -4.847630177,       -4.89241445,      -2.087509372
          0,           0,          70,      -7.599495705,      -4.862426499,      -4.910950801,      -2.129828387
          0,           0,          71,      -7.633419519,      -4.880325516,      -4.938184108,      -2.167419156
          0,           0,          72,      -7.654371562,        -4.9000085,      -4.974035133,      -2.191702181
          0,           0,          73,      -7.659145282,      -4.919143253,       -5.01720081,      -2.198178157
          0,           0,          74,      -7.651435659,      -4.934657986,      -5.064231013,      -2.190198872
          0,           0,          75,      -7.638942816,      -4.943593702,      -5.108457457,      -2.176156152
          0,           0,          76,      -7.628915582,      -4.944376416,      -5.140418377,      -2.164149305
          0,           0,          77,      -7.626214951,      -4.937679547,      -5.152400246,      -2.159559037
          0,           0,          78,      -7.633543833,      -4.926118112,      -5.144759462,      -2.165312586
          0,           0,          79,      -7.652224531,      -4.913086349,      -5.125769515,      -2.182819305
          0,           0,          80,      -7.682602648,      -4.901654742,      -5.105231152,      -2.212481775
          0,           0,          81,      -7.724013021,      -4.894058588,      -5.090140491,      -2.253719063
          0,           0,          82,      -7.774098906,      -4.891646901,      -5.084402517,      -2.304289437
          0,           0,          83,      -7.827458605,      -4.895010874,      -5.089936144,      -2.358838118
          0,           0,          84,      -7.874411368,      -4.904113474,      -5.107577974,      -2.407369864
          0,           0,          85,       -7.90316318,      -4.918337851,      -5.137460303,       -2.43713705
          0,           0,          86,      -7.907944547,      -4.936475185,      -5.178836192,      -2.441406649
          0,           0,          87,      -7.894768839,       -4.95671043,      -5.229188806,      -2.426323763
          0,           0,          88,      -7.875602073,      -4.976721717,      -5.282457122,      -2.404700407
          0,           0,          89,       -7.86033674,      -4.994027319,      -5.327260865,      -2.387026566
          0,           0,          90,      -7.854657562,      -5.006627323,      -5.349608488,       -2.37917476
          0,           0,          91,      -7.861327968,      -5.013694344,      -5.343594227,       -2.38390851
          0,           0,          92,      -7.881519204,      -5.015864386,      -5.317719769,      -2.402372007
          0,           0,          93,      -7.915499105,      -5.014885092,      -5.286098588,      -2.434871528
          0,           0,          94,      -7.962445099,      -5.012896051,      -5.258991634,      -2.480795124
          0,           0,          95,      -8.019241994,      -5.011774944,      -5.241564102,      -2.537595767
          0,           0,          96,      -8.077903293,      -5.012773146,      -5.235903655,      -2.598390575
          0,           0,          97,      -8.123298789,      -5.016416525,      -5.242657104,      -2.649129171
          0,           0,          98,      -8.138930027,      -5.022543411,      -5.261807961,      -2.672155813
          0,           0,          99,      -8.122825724,      -5.030407864,        -5.2928403,      -2.661784819
          0,           0,         100,       -8.08993647,      -5.038837937,       -5.33442644,      -2.631184622
          0,           0,         101,      -8.056564839,      -5.046472258,      -5.383587572,      -2.597750379
          0,           0,         102,      -8.032059285,      -5.052092913,      -5.434305685,      -2.572219213
          0,           0,         103,      -8.020347319,      -5.054971096,      -5.476688975,      -2.559258588
          0,           0,         104,       -8.02279689,      -5.055085184,      -5.499907561,      -2.560523818
          0,           0,         105,      -8.039818306,      -5.053099104,      -5.499973704,      -2.576505777
          0,           0,         106,      -8.071447265,       -5.05012143,      -5.483517012,      -2.607227015
          0,           0,         107,      -8.117340268,      -5.047378691,      -5.461589951,      -2.652266245
          0,           0,         108,      -8.176078218,      -5.045944132,      -5.442803026,      -2.710026531
          0,           0,         109,      -8.243320103,      -5.046581379,      -5.431829724,      -2.775802456
          0,           0,         110,       -8.30861739,      -5.049686799,      -5.430568086,      -2.838583201
          0,           0,         111,      -8.354134781,      -5.055299399,      -5.439316119,      -2.880330121
          0,           0,         112,      -8.365283024,      -5.063138954,      -5.457332831,       -2.88756183
          0,           0,         113,      -8.347029255,      -5.072666236,      -5.482882336,       -2.86665422
          0,           0,         114,      -8.317784476,      -5.083163595,      -5.512979812,      -2.836031822
          0,           0,         115,      -8.292444264,      -5.093843276,      -5.543147535,      -2.809924332
          0,           0,         116,      -8.278286669,      -5.103974058,      -5.567856766,      -2.795129003
          0,           0,         117,      -8.277957695,      -5.113010726,      -5.582307807,      -2.794083062
          0,           0,         118,      -8.291966778,      -5.120683063,      -5.584948615,      -2.807245585
          0,           0,         119,      -8.319686993,      -5.127014292,      -5.578356188,       -2.83406212
          0,           0,         120,      -8.359195977,      -5.132263612,       -5.56747853,      -2.872881091
          0,           0,         121,      -8.406011025,      -5.136814789,      -5.557137526,      -2.919865762
          0,           0,         122,      -8.451149045,      -5.141050171,      -5.550713786,      -2.967174308
          0,           0,         123,      -8.481158846,      -5.145255366,      -5.550030397,      -3.002364593
          0,           0,         124,      -8.485120465,      -5.149565292,       -5.55566427,      -3.013602474
          0,           0,         125,       -8.46488988,      -5.153954718,      -5.567220701,      -2.999906054
          0,           0,         126,      -8.432887097,      -5.158274579,      -5.583463065,      -2.972009855
          0,           0,         127,      -8.401255728,      -5.162312829,      -5.602359888,      -2.942403687
          0,           0,         128,      -8.377086008,      -5.165868981,      -5.621224651,      -2.919092673
          0,           0,         129,      -8.363464457,      -5.168823309,       -5.63714333,      -2.905820902
          0,           0,         130,      -8.361355496,      -5.171181858,      -5.647779541,      -2.903897178
          0,           0,         131,      -8.370697299,      -5.173085754,      -5.652237669,      -2.913400323
          0,           0,         132,      -8.390817638,       -5.17478551,      -5.651380638,      -2.933666656
          0,           0,         133,      -8.420375784,      -5.176590814,      -5.647338623,      -2.963244164
          0,           0,         134,      -8.456983924,      -5.178812213,      -5.642598698,      -2.999490851
          0,           0,         135,      -8.496632197,      -5.181708215,      -5.639272365,      -3.037986993
          0,           0,         136,      -8.533379253,      -5.185448373,      -5.638747643,      -3.072362545
          0,           0,         137,      -8.560352332,      -5.190093119,       -5.64164951,      -3.095704214
          0,           0,         138,       -8.57302662,      -5.195592155,      -5.647925124,      -3.104232542
          0,           0,         139,      -8.572171446,       -5.20179818,      -5.656971086,      -3.099862525
          0,           0,         140,      -8.563083808,      -5.208489287,      -5.667751989,      -3.088586751
          0,           0,         141,      -8.552055747,      -5.215404311,       -5.67896556,      -3.076740998
          0,           0,         142,      -8.543774397,      -5.222280738,      -5.689285191,      -3.068767631
          0,           0,         143,      -8.540694606,      -5.228888988,      -5.697642887,      -3.066908116
          0,           0,         144,      -8.543489833,      -5.235059705,       -5.70351059,       -3.07174204
          0,           0,         145,      -8.551454989,      -5.240697005,      -5.707012227,      -3.082562102
          0,           0,         146,      -8.562797488,      -5.245777316,      -5.708820238,      -3.097589776
          0,           0,         147,       -8.57484824,      -5.250334576,      -5.709890923,      -3.114050143
          0,           0,         148,      -8.584589439,        -5.2544381,      -5.711176724,      -3.128572229
          0,           0,         149,      -8.589507636,      -5.258169019,      -5.713411051,       -3.13802872
          0,           0,         150,      -8.588532369,      -5.261600958,      -5.716992267,      -3.140691324
          0,           0,         151,      -8.582451698,      -5.264788942,      -5.721953935,      -3.136981943
          0,           0,         152,      -8.573414421,      -5.267767305,      -5.727997689,      -3.129119288
          0,           0,         153,      -8.564020802,      -5.270555316,       -5.73455805,      -3.120062505
          0,           0,         154,      -8.556556667,      -5.273167236,      -5.740921649,      -3.112506928
          0,           0,         155,      -8.552599486,       -5.27562173,      -5.746382018,      -3.108333966
          0,           0,         156,      -8.553000955,      -5.277950038,      -5.750376468,      -3.108575413
          0,           0,         157,      -8.557961084,      -5.280199092,      -5.752615837,      -3.113501415
          0,           0,         158,      -8.567119425,      -5.282429517,      -5.753140848,      -3.122734911
          0,           0,         159,      -8.579643558,      -5.284708932,      -5.752273788,      -3.135358184
          0,           0,         160,      -8.594271313,      -5.287104702,      -5.750501656,      -3.149976764
          0,           0,         161,      -8.609427201,      -5.289671549,      -5.748374923,      -3.164870176
          0,           0,         162,      -8.623463297,      -5.292444256,      -5.746394188,      -3.178270459
          0,           0,         163,      -8.635013617,      -5.295431931,      -5.744934451,      -3.188798784
          0,           0,         164,      -8.643192172,      -5.298615269,      -5.744234376,      -3.195686788
          0,           0,         165,      -8.647884753,      -5.301950421,      -5.744395966,      -3.199063688
          0,           0,         166,      -8.649640957,      -5.305373469,       -5.74541261,      -3.199756726
          0,           0,         167,      -8.649391577,      -5.308809644,      -5.747186567,      -3.198916725
          0,           0,         168,      -8.648054493,      -5.312177484,      -5.749589819,      -3.197599418
          0,           0,         169,      -8.646377516,       -5.31539953,      -5.752481995,      -3.196582266
          0,           0,         170,      -8.644792917,        -5.3184085,       -5.75573847,      -3.196246599
          0,           0,         171,      -8.643416091,      -5.321153953,      -5.759251411,      -3.196591617
          0,           0,         172,      -8.642141323,      -5.323604522,      -5.762937161,      -3.197347355
