"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -2.82181759,     -0.9466002197,     -0.2858390826,       2.657591458
          0,           0,           1,       -2.56378674,      -0.702499968,    -0.07422077015,        2.91773425
          0,           0,           2,      -2.865818782,      -1.224088721,     -0.2674167238,       2.610649525
          0,           0,           3,      -3.295945891,      -1.624533598,     -0.9123247781,       2.182851149
          0,           0,           4,      -3.728667023,      -2.043017393,      -1.323812011,       1.750229062
          0,           0,           5,      -4.172166115,      -2.312881265,      -1.669547337,         1.3072255
          0,           0,           6,      -4.480679502,      -2.518684873,      -2.204803619,      0.9983155541
          0,           0,           7,      -4.634426163,      -2.640234265,      -2.373760906,       0.844429217
          0,           0,           8,      -4.762773819,      -2.734679817,      -2.569410414,      0.7156557673
          0,           0,           9,      -4.873531264,      -2.832450483,      -2.707050049,      0.6045354044
          0,           0,          10,      -4.945254686,      -2.911923241,       -2.80074395,      0.5325961321
          0,           0,          11,      -5.031737596,      -2.996085434,      -2.927666595,      0.4456858739
          0,           0,          12,      -5.126871773,      -3.074155235,      -3.043731343,       0.350002038
          0,           0,          13,      -5.190970236,      -3.130209049,      -3.122938308,      0.2854435078
          0,           0,          14,      -5.259440671,       -3.18079006,      -3.172448832,      0.2166240735
          0,           0,          15,      -5.323823207,      -3.232271223,      -3.229413463,      0.1517979664
          0,           0,          16,      -5.404220663,      -3.287516875,      -3.291165369,     0.07092872166
          0,           0,          17,      -5.465992454,       -3.34697369,      -3.385440215,    0.008356736145
          0,           0,          18,      -5.538965989,      -3.404856497,      -3.430173924,    -0.06525091973
          0,           0,          19,      -5.603292676,      -3.462067968,      -3.471305321,     -0.1300646847
          0,           0,          20,      -5.670798659,      -3.516596883,      -3.493043524,     -0.1976650755
          0,           0,          21,       -5.73740102,      -3.569433128,      -3.514725942,       -0.26405569
          0,           0,          22,      -5.806315064,      -3.621114917,      -3.544763975,     -0.3325753333
          0,           0,          23,      -5.867871426,      -3.671518063,      -3.586309494,     -0.3936839764
          0,           0,          24,      -5.939028945,       -3.72431607,      -3.636722856,     -0.4644542908
          0,           0,          25,      -6.014082165,       -3.77767792,      -3.705204701,     -0.5391716751
          0,           0,          26,      -6.090315888,      -3.831216703,      -3.781047643,     -0.6151368129
          0,           0,          27,      -6.167574441,      -3.884088404,      -3.859505294,     -0.6921639637
          0,           0,          28,      -6.244813162,      -3.935583196,      -3.933748988,      -0.769170816
          0,           0,          29,      -6.321743991,      -3.985565236,      -4.000265541,     -0.8458970975
          0,           0,          30,      -6.397444527,       -4.03427081,      -4.057536917,     -0.9214544222
          0,           0,          31,       -6.47020651,      -4.082067692,      -4.105987559,     -0.9941401386
          0,           0,          32,      -6.538336843,       -4.12938005,      -4.147672463,      -1.062254851
          0,           0,          33,       -6.60076094,      -4.176558659,      -4.185268796,      -1.124715063
          0,           0,          34,      -6.657401997,      -4.223760547,      -4.221196848,      -1.181428214
          0,           0,          35,      -6.709359532,      -4.270907335,      -4.257253654,      -1.233467553
